Trade Date,Settlement Date,Action,Reference,Code,Name,Units,Average Price,Consideration,Brokerage,Total
2022-12-21 00:00:00,2022-12-21 00:00:00,Out,22USD0000538964,URNM,SPROTT URANIUM MINERS ETF,16,,,,
2022-12-21 00:00:00,2022-12-21 00:00:00,In,22USD0000538896,URNM,SPROTT URANIUM MINERS ETF,32,,,,
2022-07-18 00:00:00,2022-07-18 00:00:00,Out,22USD0000420822,GOOG,ALPHABET,2,,,,
2022-07-18 00:00:00,2022-07-18 00:00:00,In,22USD0000420371,GOOG,ALPHABET,40,,,,
2022-04-29 00:00:00,2022-05-03 00:00:00,Buy,2204329128,GOOG,ALPHABET,1,2365.000000,2365.0000,9.50,2374.50
2022-02-28 00:00:00,2022-03-02 00:00:00,Buy,2202296834,GOOG,ALPHABET,1,2692.140000,2692.1400,9.50,2701.64
2021-11-18 00:00:00,2021-11-22 00:00:00,Buy,2111237148,MSFT,MICROSOFT,7,341.050000,2387.3500,9.50,2396.85
2021-10-15 00:00:00,2021-10-19 00:00:00,Buy,2110212824,URNM,SPROTT URANIUM MINERS ETF,16,90.469000,1447.5000,9.50,1457.00
2021-09-08 00:00:00,2021-09-10 00:00:00,Buy,2109189765,LIT,GLOBAL X LITHIUM BATTERY TECH ETF,17,84.900000,1443.3000,9.50,1452.80
